Sample,Plant_no,Day,Experiment,Treatment,shoot_composite_score,shoot_dis,root_composite_score,root_dis,soil
F5D1_S265,5,1,Field,U,0.95,High,0.625,High,E
F5D11_S251,5,11,Field,U,0.95,High,0.625,High,E
F5D14_S222,5,14,Field,U,0.95,High,0.625,High,E
F5D3_S248,5,3,Field,U,0.95,High,0.625,High,E
F5D5_S76,5,5,Field,U,0.95,High,0.625,High,E
F5D7_S196,5,7,Field,U,0.95,High,0.625,High,E
F5D9_S202,5,9,Field,U,0.95,High,0.625,High,E
F8D1_S193,8,1,Field,U,0.225,Low,0.5,Low,E
F8D11_S274,8,11,Field,U,0.225,Low,0.5,Low,E
F8D14_S245,8,14,Field,U,0.225,Low,0.5,Low,E
F8D3_S271,8,3,Field,U,0.225,Low,0.5,Low,E
F8D5_S70,8,5,Field,U,0.225,Low,0.5,Low,E
F8D7_S219,8,7,Field,U,0.225,Low,0.5,Low,E
F8D9_S225,8,9,Field,U,0.225,Low,0.5,Low,E
F10D1_S242,10,1,Field,U,0,Low,0.225,Low,E
F10D14_S199,10,14,Field,U,0,Low,0.225,Low,E
F10D7_S268,10,7,Field,U,0,Low,0.225,Low,E
F11D1_S229,11,1,Field,W,0.95,High,0.95,High,E
F11D11_S215,11,11,Field,W,0.95,High,0.95,High,E
F11D14_S281,11,14,Field,W,0.95,High,0.95,High,E
F11D3_S212,11,3,Field,W,0.95,High,0.95,High,E
F11D5_S73,11,5,Field,W,0.95,High,0.95,High,E
F11D7_S255,11,7,Field,W,0.95,High,0.95,High,E
F11D9_S261,11,9,Field,W,0.95,High,0.95,High,E
F13D1_S206,13,1,Field,W,0.95,High,0.95,High,E
F13D11_S165,13,11,Field,W,0.95,High,0.95,High,E
F13D14_S258,13,14,Field,W,0.95,High,0.95,High,E
F13D3_S284,13,3,Field,W,0.95,High,0.95,High,E
F13D5_S78,13,5,Field,W,0.95,High,0.95,High,E
F13D7_S232,13,7,Field,W,0.95,High,0.95,High,E
F13D9_S238,13,9,Field,W,0.95,High,0.95,High,E
F14D1_S278,14,1,Field,W,0.175,Low,0.9,High,E
F14D14_S235,14,14,Field,W,0.175,Low,0.9,High,E
F14D7_S209,14,7,Field,W,0.175,Low,0.9,High,E
F15D1_S195,15,1,Field,S,0,Low,0.5,Low,E
F15D14_S247,15,14,Field,S,0,Low,0.5,Low,E
F15D7_S221,15,7,Field,S,0,Low,0.5,Low,E
F16D1_S241,16,1,Field,S,0.95,High,0.675,High,E
F16D11_S227,16,11,Field,S,0.95,High,0.675,High,E
F16D14_S198,16,14,Field,S,0.95,High,0.675,High,E
F16D3_S224,16,3,Field,S,0.95,High,0.675,High,E
F16D5_S74,16,5,Field,S,0.95,High,0.675,High,E
F16D7_S267,16,7,Field,S,0.95,High,0.675,High,E
F16D9_S273,16,9,Field,S,0.95,High,0.675,High,E
F18D1_S218,18,1,Field,S,0.9,High,0.95,High,E
F18D11_S204,18,11,Field,S,0.9,High,0.95,High,E
F18D14_S270,18,14,Field,S,0.9,High,0.95,High,E
F18D3_S201,18,3,Field,S,0.9,High,0.95,High,E
F18D5_S79,18,5,Field,S,0.9,High,0.95,High,E
F18D7_S244,18,7,Field,S,0.9,High,0.95,High,E
F18D9_S250,18,9,Field,S,0.9,High,0.95,High,E
F20D1_S230,20,1,Field,F,0.95,High,0.95,High,E
F20D11_S216,20,11,Field,F,0.95,High,0.95,High,E
F20D14_S282,20,14,Field,F,0.95,High,0.95,High,E
F20D3_S213,20,3,Field,F,0.95,High,0.95,High,E
F20D5_S80,20,5,Field,F,0.95,High,0.95,High,E
F20D7_S256,20,7,Field,F,0.95,High,0.95,High,E
F20D9_S262,20,9,Field,F,0.95,High,0.95,High,E
F21D1_S253,21,1,Field,F,0,Low,0.4,Low,E
F21D11_S239,21,11,Field,F,0,Low,0.4,Low,E
F21D14_S210,21,14,Field,F,0,Low,0.4,Low,E
F21D3_S236,21,3,Field,F,0,Low,0.4,Low,E
F21D5_S75,21,5,Field,F,0,Low,0.4,Low,E
F21D7_S279,21,7,Field,F,0,Low,0.4,Low,E
F21D9_S285,21,9,Field,F,0,Low,0.4,Low,E
F22D1_S207,22,1,Field,F,0.175,Low,0.275,Low,E
F22D14_S259,22,14,Field,F,0.175,Low,0.275,Low,E
F22D7_S233,22,7,Field,F,0.175,Low,0.275,Low,E
25D1_S1,25,1,Greenhouse,U,0.775,High,0.725,High,A
25D14_S45,25,14,Greenhouse,U,0.775,High,0.725,High,A
25D7_S23,25,7,Greenhouse,U,0.775,High,0.725,High,A
G25D1_S301,25,1,Growth Room,U,0.95,High,0.95,High,A
G25D11_S312,25,11,Growth Room,U,0.95,High,0.95,High,A
G25D14_S319,25,14,Growth Room,U,0.95,High,0.95,High,A
G25D3_S297,25,3,Growth Room,U,0.95,High,0.95,High,A
G25D7_S352,25,7,Growth Room,U,0.95,High,0.95,High,A
G25D9_S381,25,9,Growth Room,U,0.95,High,0.95,High,A
27D1_S2,27,1,Greenhouse,U,0.95,High,0.95,High,A
27D11_S158,27,11,Greenhouse,U,0.95,High,0.95,High,A
27D13_S179,27,13,Greenhouse,U,0.95,High,0.95,High,A
27D14_S46,27,14,Greenhouse,U,0.95,High,0.95,High,A
27D3_S88,27,3,Greenhouse,U,0.95,High,0.95,High,A
27D5_S109,27,5,Greenhouse,U,0.95,High,0.95,High,A
